,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
5396,70,BOSTON AV,S 40TH ST,S 41ST ST,Good,20140807,1600,BOSTON AV,40TH ST,0,A,4,A,09,A,A,H
5397,24.3,IMPERIAL AV,24TH ST,25TH ST,Poor,20140708,2143,IMPERIAL AV,25TH ST,0,A,3,A,12,C,A,H
5398,79.45,CLAIREMONT MESA BL,ROLFE RD,LAKEHURST AV,Good,20140716,2040,CLAIREMONT MESA BL,ROLFE RD,0,A,3,A,12,C,A,H
5399,46.14,BLACK MTN RD,MAYA LINDA RD,CARROLL CANYON RD,Fair,20140730,2055,BLACK MOUNTAIN RD,CARROLL CANYON,0,A,4,A,- ,C,A,H
5400,60.56,EL CAJON BL,50TH ST,ALTADENA AV,Fair,20140731,1349,EL CAJON BL,56TH ST,0,A,4,A,21,A,A,H
5401,77.44,01ST AV,W B ST,A ST,Good,20140730,0744,01ST AV,A ST,0,A,4,A,17,A,A,H
5402,51,MIRA MESA BL,FLANDERS DR,VIPER WY,Fair,20140730,1420,MIRA MESA BL,VIPER WY,0,A,4,A,04,A,A,H
5403,52.19,UPAS ST,ALABAMA ST,MISSISSIPPI ST,Fair,20140812,1204,UPAS ST,MISSISSIPPI ST,0,A,4,A,08,A,A,H
5404,53.8,WASHINGTON ST,MORROW WY,CLEVELAND AV,Fair,20140810,0211,WASHINGTON ST,CLEVELAND AV,0,A,3,A,12,C,A,H
5405,100,EL CAJON BL,MISSISSIPPI ST,LOUISIANA ST,Good,20140813,1739,EL CAJON BL,MISSISSIPPI ST,0,A,3,A,08,A,A,H
5406,76.18,L ST,06TH AV,07TH AV,Good,20140812,1043,L ST,06TH AV,0,B,4,A,03,A,A,H
5407,87.43,POMERADO RD,RANCHO BERNARDO RD,POMERADO CT,Good,20140809,1056,POMERADO RD,RANCHO BERNARDO RD,0,A,2,A,09,A,A,H
5408,79.3,CLAIREMONT MESA BL,CLAIREMONT DR,CLAIREMONT MESA BL,Good,20140819,0907,CLAIREMONT MESA BL,CLAREMONT MESA BL 4200,0,A,4,A,01,A,A,H
5409,77.79,VISION DR,CAMTO DEL DIAMANTE,EASTER WY,Good,20140813,2119,VISION DR,EASTER WY,0,A,4,A,21,D,A,H
5410,51,WESTONHILL DR,DEWSBURY AV,BRENTFORD AV,Fair,20140813,0940,WESTONHILL DR,DEWSBURY,0,B,4,A,04,A,A,H
5411,29.38,ANDASOL ST,AEGEAN CT,ACASO CT,Poor,20140815,0151,ANDASOL ST,ACASO CT,0,A,3,A,08,C,A,H
5412,83.05,HOWARD AV,ARIZONA ST,HAMILTON ST,Good,20140803,1220,HOWARD AV,ARIZONA ST,0,A,3,-,- ,A,A,H
